EstadoCivil;Sexo;Estrato;TipoVivienda;LugarNacimiento; FechaNacimiento ;Edad;Nacionalidad; Ingresos ;OtrosIngresos; Gastos ;Activos;OtrosPasivos;FechaSolicitud; CapitalSolicitado ;Plazo;Score;Aprobado
1;1;3;3;11001;17/05/86;36;Colombiano;5800672;0;2578195;50000000;0;31/03/15;80000000;60;880;1
2;1;3;1;41001;10/10/85;37;COLOMBIANO;11300000;0;4980000;280000000;0;29/05/15;67000000;48;911;1
2;1;3;1;41001;10/10/85;37;COLOMBIANO;11300000;0;4980000;280000000;0;21/04/16;87000000;60;911;1
2;1;3;1;41001;10/10/85;37;COLOMBIANO;11300000;0;4980000;280000000;0;23/04/16;103298720,1;60;911;1
2;1;3;1;41001;10/10/85;37;COLOMBIANO;11300000;0;4980000;280000000;0;3/10/15;72523824,04;44;911;1
2;1;2;1;41524;26/04/95;27;Colombiano;1250000;0;1150000;0;0;14/01/19;62501839,67;26;;1
2;1;2;1;41524;26/04/95;27;Colombiano;1250000;0;1150000;0;0;14/04/19;56380308,28;23;;1
2;1;2;1;41524;26/04/95;27;Colombiano;1250000;0;1150000;0;0;14/01/19;57958328;26;;1
5;2;2;1;11001;12/06/91;31;Colombiano;4250000;0;3118994;200000000;0;11/05/18;53000000;60;962;1
5;2;2;1;11001;12/06/91;31;Colombiano;4250000;0;3118994;200000000;0;11/05/18;35000000;60;962;1
5;2;2;1;11001;12/06/91;31;Colombiano;4250000;0;3118994;200000000;0;15/05/18;66703929,19;60;962;1
5;2;2;1;11001;12/06/91;31;Colombiano;4250000;0;3118994;200000000;0;15/05/18;44049762,15;60;962;1
5;2;2;1;11001;12/06/91;31;Colombiano;4250000;0;3118994;200000000;0;5/06/21;42392173,41;36;962;1
5;2;2;1;11001;12/06/91;31;Colombiano;4250000;0;3118994;200000000;0;24/07/19;1070994;12;962;1
5;2;2;1;11001;12/06/91;31;Colombiano;4250000;0;3118994;200000000;0;24/07/19;1651167;12;962;1
5;2;2;1;11001;12/06/91;31;Colombiano;4250000;0;3118994;200000000;0;19/02/21;3006176;4;962;1
5;2;2;1;11001;12/06/91;31;Colombiano;4250000;0;3118994;200000000;0;5/02/21;34494627;36;962;1
5;2;2;1;11001;24/10/92;30;Colombiano;8400000;0;3616000;720000000;0;27/11/15;140000000;48;946;1
5;2;2;1;11001;24/10/92;30;Colombiano;8400000;0;3616000;720000000;0;29/08/17;140000000;48;946;1
5;2;2;1;11001;24/10/92;30;Colombiano;8400000;0;3616000;720000000;0;30/09/17;96038466,97;26;946;1
5;1;2;3;11001;16/09/86;36;Colombiano;3225000;0;261000;0;0;28/11/19;57900000;60;;1
5;1;2;3;11001;16/09/86;36;Colombiano;3225000;0;261000;0;0;3/12/19;71157216,47;60;;1
5;1;2;3;11001;16/09/86;36;Colombiano;3225000;0;261000;0;0;19/05/20;1787131;24;;1
5;1;2;3;11001;16/09/86;36;Colombiano;3225000;0;261000;0;0;3/11/20;1414797;19;;1
2;2;2;1;17013;12/11/88;34;Colombiano;7141000;0;4438898;240000000;0;2/03/17;80000000;60;;1
2;2;2;1;17013;12/11/88;34;Colombiano;7141000;0;4438898;240000000;0;27/01/19;82607850,96;48;;1
2;2;2;1;17013;12/11/88;34;Colombiano;7141000;0;4438898;240000000;0;1/12/18;65040178;48;;1
2;2;2;1;17013;12/11/88;34;Colombiano;7141000;0;4438898;240000000;0;27/12/18;810212;12;;1
2;2;2;1;17013;12/11/88;34;Colombiano;7141000;0;4438898;240000000;0;2/08/20;53507615,01;29;;1
2;2;2;1;17013;12/11/88;34;Colombiano;7141000;0;4438898;240000000;0;27/12/20;48019951,04;25;;1
1;1;2;3;11001;7/10/92;30;Colombiano;9090000;0;3926000;124999000;0;25/09/18;68000000;60;920;1
1;1;2;3;11001;7/10/92;30;Colombiano;9090000;0;3926000;124999000;0;26/12/18;86378872,57;57;920;1
1;1;2;3;11001;7/10/92;30;Colombiano;9090000;0;3926000;124999000;0;26/10/19;67030681,33;47;920;1
1;1;4;3;11001;4/06/86;36;Colombiano;3613000;0;527000;0;0;28/06/19;61000000;60;910;1
1;1;4;3;11001;4/06/86;36;Colombiano;3613000;0;527000;0;0;1/07/19;74593852,99;60;910;1
1;1;4;3;11001;4/06/86;36;Colombiano;3613000;0;527000;0;0;1/11/19;71232870,76;56;910;1
1;1;4;3;11001;4/06/86;36;Colombiano;3613000;0;527000;0;0;17/01/20;1866590;6;910;1
1;1;3;3;11001;3/02/89;33;COLOMBIANO;2750000;NULL;1444000;70000000;NULL;28/06/13;30000000;36;744;1
2;1;3;1;11001;6/06/89;33;Colombiano;5090236;0;2452670;0;0;18/05/18;70000000;60;962;1
1;2;3;2;11001;29/08/89;33;COLOMBIANA;4550000;NULL;2012000;80000000;NULL;14/04/14;40000000;36;845;1
5;2;2;3;11001;31/10/89;33;COLOMBIANA;5366000;0;1865280;72000000;0;18/12/14;85000000;30;591;1
1;1;3;3;11001;4/09/91;31;Colombiano;5822000;0;3737000;90000000;0;22/03/17;66000000;60;;1
1;1;3;3;11001;4/09/91;31;Colombiano;5822000;0;3737000;90000000;0;26/03/17;79364020,98;60;;1
1;1;2;3;11001;8/03/81;41;COLOMBIANO;6000000;0;4268000;215000000;0;11/09/13;95000000;48; ;1
1;1;2;3;11001;8/03/81;41;COLOMBIANO;6000000;0;4268000;215000000;0;18/09/15;32000000;24; ;1
1;2;3;3;11001;4/09/91;31;Colombiano;3225000;0; $- ;0;0;9/04/15;50000000;48;0;1
1;2;3;3;11001;4/09/91;31;Colombiano;3225000;0; $- ;0;0;15/01/15;12000000;24;0;1
1;2;3;3;11001;4/09/91;31;Colombiano;3225000;0; $- ;0;0;16/07/15;58303887,41;45;0;1
1;1;3;1;11001;2/03/60;62;COLOMBIANO;3000000;NULL;745000;170000000;NULL;6/04/14;78000000;48;;1
1;1;2;3;11001;31/03/95;27;Colombiano;5495211;0;2902903;0;0;25/12/18;77376684,14;60;;1
1;1;2;3;11001;31/03/95;27;Colombiano;5495211;0;2902903;0;0;20/12/18;68000000;60;;1
1;1;2;3;11001;31/03/95;27;Colombiano;5495211;0;2902903;0;0;25/12/19;69988765,39;48;;1
1;2;2;3;11001;16/08/88;34;Colombiano;5186466;0;2370084;800000000;0;13/07/17;72000000;40;776;1
1;2;2;3;11001;16/08/88;34;Colombiano;5186466;0;2370084;800000000;0;18/07/17;84237188,73;40;776;1
1;1;2;3;11001;16/04/96;26;Colombiano;2850000;0; $- ;0;0;11/06/19;77279735,38;60;;1
1;1;2;3;11001;16/04/96;26;Colombiano;2850000;0; $- ;0;0;11/12/19;71869518,62;54;;1
1;1;2;3;11001;16/04/96;26;Colombiano;2850000;0; $- ;0;0;11/06/19;62000000;60;;1
2;1;3;3;15897;20/01/89;33;Colombiano;5145000;0;2650000;0;0;11/04/18;75000000;60;953;1
2;1;3;3;15897;20/01/89;33;Colombiano;5145000;0;2650000;0;0;15/04/18;91708578,11;60;953;1
1;1;3;3;25862;30/10/95;27;Colombiano;5506000;0;2950000;800000000;0;17/04/18;32000000;36;844;1
1;1;4;3;11001;23/05/89;33;Colombiano;4965982;0;2809000;0;0;8/07/19;57000000;60;;1
1;1;4;3;11001;23/05/89;33;Colombiano;4965982;0;2809000;0;0;9/07/19;67720662,55;60;;1
